product_category_name,units_sold,total_revenue,avg_price,total_freight
beleza_saude,9670,1258681.34,130.16353050672183,182566.73
relogios_presentes,5991,1205005.68,201.13598397596394,100535.93
cama_mesa_banho,11115,1036988.68,93.29632748538012,204693.04
esporte_lazer,8641,988048.97,114.34428538363615,168607.51
informatica_acessorios,7827,911954.32,116.51390315574294,147318.08
moveis_decoracao,8334,729762.49,87.56449364050876,172749.3
cool_stuff,3796,635290.85,167.357968914647,84039.1
utilidades_domesticas,6964,632248.66,90.78814761631247,146149.11
automotivo,4235,592720.11,139.9575230224321,92664.21
ferramentas_jardim,4347,485256.46,111.63019553715206,98962.75
brinquedos,4117,483946.6,117.54836045664318,77425.95
bebes,3065,411764.89,134.34417292006526,68353.11
perfumaria,3419,399124.87,116.73731207955542,54213.84
telefonia,4545,323667.52999999997,71.21397799779977,71215.79
moveis_escritorio,1691,273960.7,162.0110585452395,68571.95
papelaria,2517,230943.23,91.75336909018674,46798.48
pcs,203,222963.13,1098.3405418719212,9836.3
pet_shop,1947,214315.41,110.0746841294299,39561.24
instrumentos_musicais,680,191498.88,281.616,18638.49
eletroportateis,679,190648.58,280.7784683357879,16020.25
unknown,1603,179535.28,111.99955084217093,28169.81
eletronicos,2767,160246.74,57.913530899891576,46578.32
consoles_games,1137,157465.22,138.49183817062445,19828.02
fashion_bolsas_e_acessorios,2031,152823.54,75.24546528803546,31450.0
construcao_ferramentas_construcao,929,144677.59,155.7347578040904,20650.41
malas_acessorios,1092,140429.98,128.5988827838828,30445.23
eletrodomesticos_2,238,113317.74,476.1249579831933,10600.18
casa_construcao,604,83088.12,137.56311258278146,13832.24
eletrodomesticos,771,80171.53,103.98382619974059,14818.9
agro_industria_e_comercio,212,72530.47,342.12485849056606,5843.6
moveis_sala,503,68916.56,137.0110536779324,17968.170000000002
telefonia_fixa,264,59583.0,225.6931818181818,4637.81
casa_conforto,434,58572.04,134.95861751152074,8501.23
climatizacao,297,55024.96,185.26922558922558,6749.23
audio,364,50688.5,139.25412087912088,5710.44
portateis_casa_forno_e_cafe,76,47445.71,624.2856578947368,2747.86
livros_interesse_geral,553,46856.88,84.73215189873417,9195.52
moveis_cozinha_area_de_servico_jantar_e_jardim,281,46328.37,164.8696441281139,11999.43
construcao_ferramentas_iluminacao,304,41080.0,135.1315789473684,7583.8
construcao_ferramentas_seguranca,194,40544.52,208.9923711340206,3919.1
industria_comercio_e_negocios,268,39669.61,148.0209328358209,7884.68
alimentos,510,29393.41,57.63413725490196,7271.03
market_place,311,28378.47,91.2490996784566,5456.06
construcao_ferramentas_jardim,238,25715.89,108.04995798319328,5311.4
artes,209,24202.64,115.8021052631579,4045.17
fashion_calcados,262,23562.77,89.93423664122137,4918.87
bebidas,379,22428.7,59.178627968337736,5741.25
sinalizacao_e_seguranca,199,21509.23,108.08658291457286,6507.82
moveis_quarto,109,20028.78,183.75027522935778,4632.23
livros_tecnicos,267,19096.06,71.52082397003745,4283.06
construcao_ferramentas_ferramentas,103,15903.95,154.40728155339806,2030.22
alimentos_bebidas,278,15179.48,54.602446043165465,4507.99
fashion_roupa_masculina,132,10797.82,81.80166666666666,2152.41
fashion_underwear_e_moda_praia,131,9541.55,72.83625954198473,1916.19
artigos_de_natal,153,8800.82,57.52169934640523,3229.2999999999997
tablets_impressao_imagem,83,7528.41,90.70373493975903,1226.2
cine_foto,72,6933.46,96.29805555555555,1256.2
musica,38,6034.35,158.79868421052632,690.51
dvds_blu_ray,64,5999.39,93.74046875,1288.74
livros_importados,60,4639.85,77.33083333333335,769.85
artigos_de_festas,43,4485.18,104.30651162790699,827.97
moveis_colchao_e_estofado,38,4368.08,114.94947368421053,1630.46
portateis_cozinha_e_preparadores_de_alimentos,15,3968.5299999999997,264.5686666666667,309.76
fashion_roupa_feminina,48,2803.64,58.409166666666664,621.75
fashion_esporte,30,2119.51,70.65033333333334,578.13
la_cuisine,14,2054.99,146.785,333.55
artes_e_artesanato,24,1814.01,75.58375,370.13
fraldas_higiene,39,1567.59,40.19461538461538,573.68
pc_gamer,9,1545.95,171.77222222222224,133.57
flores,33,1110.04,33.63757575757575,488.87
casa_conforto_2,30,760.27,25.342333333333332,410.31
cds_dvds_musicais,14,730.0,52.142857142857146,224.98999999999998
fashion_roupa_infanto_juvenil,8,569.85,71.23125,95.51
seguros_e_servicos,2,283.28999999999996,141.64499999999998,41.22
